word_in_doc,similarity,actual_medical_word
swelling,88,Swelling
buning eyes,87,Burning eyes
age,86,Rage
old,86,Cold
nightmare,89,Nightmare
screaming,89,Screaming
old,86,Cold
age,86,Rage
all,86,Fall
all,86,Fall
elts,89,Welts
all,86,Fall
elts,89,Welts
ADHD,100,ADHD
ADHD,100,ADHD
old,86,Cold
partial seizure,90,Partial seizures
seizure,86,Seizure
seizure,86,Seizure
seizure,86,Seizure
ADHD,100,ADHD
all,86,Fall
art,86,Wart
glaucoma,88,Glaucoma
out,86,Gout
all,86,Fall
all,86,Fall
Could,89,Cold
tasted bitter,88,Taste bitter
infection,89,Infection
all,86,Fall
"yeast infection,",90,Yeast infection
yeast infection,93,Yeast infection
infection,89,Infection
yeast infections,90,Yeast infection
tastes bitter,88,Taste bitter
bleeding,88,Bleeding
being irritated,88,Feeling irritated
the tightness,86,Chest tightness
all,86,Fall
out,86,Gout
out,86,Gout
all,86,Fall
all,86,Fall
all,86,Fall
sickness,88,Sickness
old,86,Cold
old,86,Cold
all,86,Fall
out,86,Gout
all,86,Fall
ever,89,Fever
all,86,Fall
out,86,Gout
all,86,Fall
old,86,Cold
old,86,Cold
all,86,Fall
old,86,Cold
swelling,88,Swelling
Swelling,100,Swelling
Could,89,Cold
all,86,Fall
Brain Injury,92,Brain injury
Stress,100,Stress
staring,86,Staring
all,86,Fall
all,86,Fall
eating,86,Sweating
joint pain,90,Joint pain
runny nose,90,Runny nose
Diarrhea,100,Diarrhea
all,86,Fall
out,86,Gout
out,86,Gout
had dreams,90,Bad dreams
all,86,Fall
weakness,88,Weakness
out,86,Gout
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
itching,88,Twitching
out,86,Gout
old,86,Cold
all,86,Fall
diabetic,88,Diabetic
old,86,Cold
nervous,86,Nervous
Could,89,Cold
all,86,Fall
all,86,Fall
ever,89,Fever
old,86,Cold
out,86,Gout
diarrhea,88,Diarrhea
diarrhea,88,Diarrhea
diarrhea,88,Diarrhea
out,86,Gout
double vision,92,Double vision
double vision,92,Double vision
ear,86,Fear
tearing,86,Staring
Could,89,Cold
weight gain,91,Weight gain
out,86,Gout
all,86,Fall
out,86,Gout
bleeding,88,Bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
Could,89,Cold
all,86,Fall
