word_in_doc,similarity,actual_medical_word
out,86,Gout
discomfort,90,Discomfort
"""miscarriage",87,Miscarriage
all,86,Fall
all,86,Fall
out,86,Gout
old,86,Cold
out,86,Gout
out,86,Gout
screaming,89,Screaming
all,86,Fall
screaming,89,Screaming
out,86,Gout
old,86,Cold
confused,88,Confused
old,86,Cold
bleeding,88,Bleeding
miscarriage?,87,Miscarriage
ever,89,Fever
"double vision,",89,Double vision
double vision,92,Double vision
infection,89,Infection
confused,88,Confused
all,86,Fall
snoring,86,Snoring
sleep apnea?,87,Sleep apnea
difference,91,Indifference
Snoring,100,Snoring
sleep apnea,91,Sleep apnea
old,86,Cold
all,86,Fall
old,86,Cold
up bleeding,87,Gum bleeding
bleeding,88,Bleeding
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
anxiety,86,Anxiety
bladder cancer,93,Bladder cancer
all,86,Fall
out,86,Gout
ever,89,Fever
bladder infection,94,Bladder infection
infection,89,Infection
out,86,Gout
"breast tenderness,",91,Breast tenderness
"tenderness,",86,Tenderness
ever,89,Fever
ever,89,Fever
all,86,Fall
difference,91,Indifference
difference,91,Indifference
all,86,Fall
difference,91,Indifference
After that,86,After taste
old,86,Cold
gallstones,90,Gallstones
all,86,Fall
out,86,Gout
out,86,Gout
old,86,Cold
out,86,Gout
old,86,Cold
all,86,Fall
cataract,88,Cataract
out,86,Gout
cataracts,89,Cataracts
all,86,Fall
vomiting,88,Vomiting
diarrhea,88,Diarrhea
out,86,Gout
all,86,Fall
old,86,Cold
all,86,Fall
age,86,Rage
yeast infection,93,Yeast infection
infection,89,Infection
vaginal pain,92,Vaginal pain
swelling,88,Swelling
yeast infection,93,Yeast infection
infection,89,Infection
blotchy,86,Blotchy
yeast infection,93,Yeast infection
infection,89,Infection
all,86,Fall
in warm,88,Skin warm
all,86,Fall
aint,89,Faint
iron deficiency,93,Iron deficiency
back pain,89,Back pain
numbness,88,Numbness
tingling,88,Stinging
bleeding,88,Bleeding
pain burning,92,Pain burning
back pain,89,Back pain
all,86,Fall
art,86,Wart
old,86,Cold
fertility,90,Infertility
all,86,Fall
miscarriage,91,Miscarriage
bleeding,88,Bleeding
old,86,Cold
age,86,Rage
age,86,Rage
ever,89,Fever
old,86,Cold
Could,89,Cold
old,86,Cold
vomiting,88,Vomiting
vomiting,88,Vomiting
diarrhea,88,Diarrhea
vomiting,88,Vomiting
out,86,Gout
ever,89,Fever
old,86,Cold
old,86,Cold
old,86,Cold
all,86,Fall
all,86,Fall
loose stool,87,Loose stools
out,86,Gout
old,86,Cold
ever,89,Fever
out,86,Gout
all,86,Fall
"Ovarian Cancer,",90,Ovarian cancer
"Cancer,",92,Cancer
diarrhea,88,Diarrhea
Autism,100,Autism
old,86,Cold
the infection,86,Chest infection
infection,89,Infection
infection,89,Infection
old,86,Cold
all,86,Fall
old,86,Cold
old,86,Cold
old,86,Cold
all,86,Fall
feeling sick,92,Feeling sick
old,86,Cold
seizure,86,Seizure
normal behavior,91,Abnormal behaviour
all,86,Fall
all,86,Fall
screaming,89,Screaming
out,86,Gout
ever,89,Fever
or vision,90,Poor vision
all,86,Fall
chest pain,90,Chest pain
and tightntess,86,Head tightness
heart attack,92,Heart attack
ever,89,Fever
anxiety,86,Anxiety
heart attack,92,Heart attack
out,86,Gout
anxiety,86,Anxiety
heart attacks,88,Heart attack
age,86,Rage
"heart attack,",88,Heart attack
all,86,Fall
old,86,Cold
or discomfort,89,Arm discomfort
discomfort,90,Discomfort
all,86,Fall
fungal infections,91,Fungal infection
the discomfort,87,Chest discomfort
discomfort,90,Discomfort
weight loss,91,Weight loss
sagging,86,Gagging
lost weight?,87,Lost weight
weight loss,91,Weight loss
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
ever,89,Fever
all,86,Fall
and burning,87,Pain burning
red irritation,86,Eye irritation
out,86,Gout
infection,89,Infection
infection,89,Infection
the irritation,87,Mouth irritation
all,86,Fall
all,86,Fall
The irritation,86,Eye irritation
all,86,Fall
redness,88,Tiredness
vomiting,88,Vomiting
allergy,86,Allergy
old,86,Cold
ever,89,Fever
old,86,Cold
all,86,Fall
out,86,Gout
discomfort,90,Discomfort
all,86,Fall
bleeding,88,Bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
uterine bleeding,94,Uterine bleeding
bleeding,88,Bleeding
bleeding,88,Bleeding
all,86,Fall
War,86,Wart
War,86,Wart
out,86,Gout
an injury,86,Brain injury
drug interactions,91,Drug interaction
old,86,Cold
regular periods,94,Irregular periods
abdominal pain,93,Abdominal pain
all,86,Fall
all,86,Fall
Morning,86,Moaning
out,86,Gout
short-sighted,92,Short-sighted
age,86,Rage
fibromyalgia,92,Fibromyalgia
fibromyalgia,92,Fibromyalgia
all,86,Fall
all,86,Fall
all,86,Fall
itching,88,Twitching
itching,88,Twitching
all,86,Fall
all,86,Fall
itching,88,Twitching
all,86,Fall
old,86,Cold
out,86,Gout
confused,88,Confused
all,86,Fall
age,86,Rage
all,86,Fall
old,86,Cold
age,86,Rage
cataracts,89,Cataracts
cataracts,89,Cataracts
cataract,88,Cataract
cataract,88,Cataract
cataract,88,Cataract
cataract,88,Cataract
anxiety,86,Anxiety
confused,88,Confused
out,86,Gout
feeling hungry,93,Feeling hungry
out,86,Gout
all,86,Fall
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
age,86,Rage
age,86,Rage
abdominal pain,93,Abdominal pain
all,86,Fall
bowel obstruction,94,Bowel obstruction
out,86,Gout
anxiety,86,Anxiety
out,86,Gout
confused,88,Confused
miscarriage?,87,Miscarriage
coughing,88,Coughing
ever,89,Fever
yeast infection?,90,Yeast infection
ever,89,Fever
bleeding,88,Bleeding
out,86,Gout
old,86,Cold
out,86,Gout
all,86,Fall
out,86,Gout
all,86,Fall
panic attack,92,Panic attack
bleeding,88,Bleeding
bleeding,88,Bleeding
swelling,88,Swelling
out,86,Gout
all,86,Fall
all,86,Fall
frustration,91,Frustration
out,86,Gout
all,86,Fall
all,86,Fall
all,86,Fall
fertility,90,Infertility
out,86,Gout
all,86,Fall
old,86,Cold
and discomfort,90,Head discomfort
discomfort,90,Discomfort
itching,88,Twitching
out,86,Gout
Plain,89,Pain
eating,86,Sweating
yeast infection,93,Yeast infection
infection,89,Infection
old,86,Cold
all,86,Fall
all,86,Fall
all,86,Fall
all,86,Fall
Cramps,91,Cramp
all,86,Fall
out,86,Gout
out,86,Gout
dementia,88,Dementia
all,86,Fall
all,86,Fall
anxiety,86,Anxiety
"weight gain,",87,Weight gain
numbness,88,Numbness
"vaginal discharge,",91,Vaginal discharge
MS,100,MS
"or Fibromyalgia,",86,Fibromyalgia
"Fibromyalgia,",96,Fibromyalgia
"shoulder pain,",89,Shoulder pain
"palpitations,",88,Palpitations
"heart attack,",88,Heart attack
out,86,Gout
ever,89,Fever
allergic rhinitis,94,Allergic rhinitis
old,86,Cold
all,86,Fall
old,86,Cold
screaming,89,Screaming
all,86,Fall
out,86,Gout
all,86,Fall
old,86,Cold
out,86,Gout
all,86,Fall
all,86,Fall
Crying,100,Crying
screaming,89,Screaming
out,86,Gout
all,86,Fall
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
itching,88,Twitching
fatigue,86,Fatigue
allergic reaction,94,Allergic reaction
"hypoglycemia,",88,Hypoglycemia
"celiac disease,",90,Celiac disease
irritable,89,Irritable
age,86,Rage
all,86,Fall
eating,86,Sweating
out,86,Gout
all,86,Fall
out,86,Gout
ADHD,100,ADHD
anxiety,86,Anxiety
all,86,Fall
weight loss,91,Weight loss
out,86,Gout
eating,86,Sweating
vision lossI,87,Vision loss
"double vision,",89,Double vision
swelling,88,Swelling
all,86,Fall
all,86,Fall
all,86,Fall
old,86,Cold
out,86,Gout
old,86,Cold
and discomfort,90,Head discomfort
discomfort,90,Discomfort
swelling,88,Swelling
discomfort,90,Discomfort
fatigue,86,Fatigue
Sleep,91,Sleepy
and discomfortI,87,Head discomfort
discomfortI,86,Discomfort
discomfort,90,Discomfort
out,86,Gout
all,86,Fall
old,86,Cold
infection,89,Infection
all,86,Fall
irritable,89,Irritable
all,86,Fall
"vaginal dryness,",90,Vaginal dryness
"night sweats,",88,Night sweats
all,86,Fall
all,86,Fall
mood swings,91,Mood swings
out,86,Gout
bleeding,88,Bleeding
all,86,Fall
miscarriage,91,Miscarriage
bleeding,88,Bleeding
miscarriage,91,Miscarriage
age,86,Rage
tingling,88,Stinging
all,86,Fall
old,86,Cold
uterine cancer,93,Uterine cancer
miscarriage,91,Miscarriage
all,86,Fall
cataract,88,Cataract
cataract,88,Cataract
out,86,Gout
age,86,Rage
out,86,Gout
blurred vision,93,Blurred vision
Headaches,94,Headache
brain damage,92,Brain damage
ever,89,Fever
old,86,Cold
old,86,Cold
old,86,Cold
old,86,Cold
ever,89,Fever
"night terrors,",89,Night terrors
old,86,Cold
all,86,Fall
all,86,Fall
frustration,91,Frustration
out,86,Gout
old,86,Cold
old,86,Cold
all,86,Fall
all,86,Fall
tenderness,90,Tenderness
Could,89,Cold
out,86,Gout
all,86,Fall
weight gain,91,Weight gain
out,86,Gout
vaginal discharge,94,Vaginal discharge
itching,88,Twitching
old,86,Cold
old,86,Cold
miscarriage,91,Miscarriage
miscarriage,91,Miscarriage
all,86,Fall
fatigue,86,Fatigue
bleeding,88,Bleeding
out,86,Gout
fatigue,86,Fatigue
double vision,92,Double vision
fatigue,86,Fatigue
anxiety,86,Anxiety
MS,100,MS
brain tumor,91,Brain tumor
out,86,Gout
double visionI,89,Double vision
out,86,Gout
diffrence,86,Indifference
out,86,Gout
out,86,Gout
out,86,Gout
out,86,Gout
old,86,Cold
all,86,Fall
all,86,Fall
out,86,Gout
out,86,Gout
confusion,89,Confusion
all,86,Fall
out,86,Gout
Could,89,Cold
all,86,Fall
all,86,Fall
all,86,Fall
confused,88,Confused
back pain,89,Back pain
Confusedd,94,Confused
retinal tear,92,Retinal tear
retinal tear,92,Retinal tear
dry eyes,88,Dry eyes
eyes infection,89,Eye infection
infection,89,Infection
dry eyes,88,Dry eyes
itching,88,Twitching
itching,88,Twitching
miscarriage,91,Miscarriage
all,86,Fall
all,86,Fall
coughing,88,Coughing
chest pains,86,Chest pain
"nose bleed,",86,Nose bleed
"lung cancer,",87,Lung cancer
"breast cancer,",89,Breast cancer
age,86,Rage
old,86,Cold
panic attacks,92,Panic attacks
all,86,Fall
panic attacks,92,Panic attacks
out,86,Gout
out,86,Gout
all,86,Fall
eating,86,Sweating
eating,86,Sweating
old,86,Cold
old,86,Cold
Acne,100,Acne
old,86,Cold
cataract,88,Cataract
dialated pupil,86,Dilated pupils
all,86,Fall
old,86,Cold
Could,89,Cold
out,86,Gout
eating,86,Sweating
out,86,Gout
old,86,Cold
ovarian cyst,92,Ovarian cyst
bleeding,88,Bleeding
confused,88,Confused
all,86,Fall
oil,86,Boil
oil,86,Boil
oil,86,Boil
oil,86,Boil
all,86,Fall
difference,91,Indifference
all,86,Fall
old,86,Cold
nightmares,90,Nightmares
screaming,89,Screaming
old,86,Cold
staring,86,Staring
all,86,Fall
old,86,Cold
age,86,Rage
old,86,Cold
old,86,Cold
aggressive behavior?,92,Aggressive behavior
aggressivness,89,Aggressiveness
all,86,Fall
ever,89,Fever
twitching,89,Twitching
Could,89,Cold
old,86,Cold
"infarction,",86,Infarction
blood pressure,88,Low blood pressure
all,86,Fall
all,86,Fall
out,86,Gout
old,86,Cold
age,86,Rage
all,86,Fall
Headaches,94,Headache
stomach cramp,89,Stomach cramps
bleeding,88,Bleeding
Could,89,Cold
all,86,Fall
out,86,Gout
eating,86,Sweating
sneezing,88,Sneezing
eating,86,Sweating
all,86,Fall
out,86,Gout
ever,89,Fever
out,86,Gout
old,86,Cold
fracture,88,Fracture
all,86,Fall
all,86,Fall
out,86,Gout
back pain,89,Back pain
out,86,Gout
runing,86,Grunting
old,86,Cold
all,86,Fall
pale skin,89,Pale skin
weakness,88,Weakness
numbness,88,Numbness
Could,89,Cold
out,86,Gout
old,86,Cold
all,86,Fall
colon cancer,92,Colon cancer
Staying,86,Staring
Seeing,86,Sneezing
all,86,Fall
all,86,Fall
all,86,Fall
a pressure,87,Head pressure
old,86,Cold
out,86,Gout
all,86,Fall
old,86,Cold
vomiting,88,Vomiting
all,86,Fall
all,86,Fall
all,86,Fall
old,86,Cold
old,86,Cold
old,86,Cold
period pains,92,Period pains
out,86,Gout
all,86,Fall
all,86,Fall
ever,89,Fever
out,86,Gout
age,86,Rage
old,86,Cold
burping,86,Burping
belching,88,Belching
blood pressure,88,Low blood pressure
old,86,Cold
all,86,Fall
weight gain,91,Weight gain
hypothyroidism,93,Hypothyroidism
all,86,Fall
hypothyroidismI,90,Hypothyroidism
hypothyroidism,93,Hypothyroidism
Range,89,Rage
out,86,Gout
out,86,Gout
out,86,Gout
staring,86,Staring
out,86,Gout
blood pressure,88,Low blood pressure
age,86,Rage
blood pressure,88,Low blood pressure
staring,86,Staring
blood pressure,88,Low blood pressure
swelling,88,Swelling
astigmatism,91,Astigmatism
Could,89,Cold
anxiety,86,Anxiety
all,86,Fall
Weight gain,100,Weight gain
inflammation,92,Inflammation
Hepatitis,100,Hepatitis
old,86,Cold
a burning,86,Pain burning
nightmares,90,Nightmares
violent,86,Violent
old,86,Cold
allergy,86,Allergy
period pains,92,Period pains
out,86,Gout
pimples,86,Pimples
out,86,Gout
oil,86,Boil
oil,86,Boil
oil,86,Boil
all,86,Fall
pimples,86,Pimples
old,86,Cold
fertility,90,Infertility
all,86,Fall
Flank Pain,90,Flank pain
Pain,100,Pain
old,86,Cold
old,86,Cold
tension,86,Tension
out,86,Gout
out,86,Gout
out,86,Gout
"inflammation,",88,Inflammation
"night sweats,",88,Night sweats
all,86,Fall
fatigue,86,Fatigue
old,86,Cold
old,86,Cold
out,86,Gout
confused,88,Confused
ever,89,Fever
out,86,Gout
all,86,Fall
old,86,Cold
old,86,Cold
eating,86,Sweating
eating,86,Sweating
out,86,Gout
out,86,Gout
weight gain,91,Weight gain
weight gain?,87,Weight gain
out,86,Gout
old,86,Cold
fatigue,86,Fatigue
all,86,Fall
old,86,Cold
out,86,Gout
nervous,86,Nervous
all,86,Fall
out,86,Gout
itching,88,Twitching
itching,88,Twitching
all,86,Fall
yeast infection?,90,Yeast infection
and burning,87,Pain burning
itching,88,Twitching
out,86,Gout
or sleep,89,Poor sleep
all,86,Fall
old,86,Cold
eating,86,Sweating
old,86,Cold
out,86,Gout
out,86,Gout
ever,89,Fever
old,86,Cold
old,86,Cold
out,86,Gout
all,86,Fall
all,86,Fall
violent,86,Violent
out,86,Gout
out,86,Gout
confused,88,Confused
old,86,Cold
ever,89,Fever
age,86,Rage
old,86,Cold
out,86,Gout
all,86,Fall
flashing lights,93,Flashing lights
all,86,Fall
ear,86,Fear
old,86,Cold
all,86,Fall
all,86,Fall
bleeding,88,Bleeding
nervous,86,Nervous
all,86,Fall
diabetic,88,Diabetic
difference,91,Indifference
out,86,Gout
out,86,Gout
dizziness,89,Dizziness
burning sensation,94,Burning sensation
all,86,Fall
Burning,86,Burping
old,86,Cold
all,86,Fall
Could,89,Cold
old,86,Cold
old,86,Cold
ADHD,100,ADHD
all,86,Fall
old,86,Cold
eating,86,Sweating
out,86,Gout
out,86,Gout
dry cough,89,Dry cough
all,86,Fall
out,86,Gout
"chest pain,",86,Chest pain
all,86,Fall
diabetes,88,Diabetes
eating,86,Sweating
weight loss,91,Weight loss
lung cancer,91,Lung cancer
dry skin,88,Dry skin
lung cancer,91,Lung cancer
weight loss,91,Weight loss
nervous,86,Nervous
old,86,Cold
aggression,90,Aggression
all,86,Fall
out,86,Gout
toAggressive Behavior,90,Aggressive behavior
breast cancer,92,Breast cancer
a fever,88,Hay fever
blister,86,Blister
blister,86,Blister
was diminished,87,Taste diminished
old,86,Cold
irregulars periods,91,Irregular periods
all,86,Fall
Back in,88,Back pain
out,86,Gout
old,86,Cold
ovarian cysts,88,Ovarian cyst
all,86,Fall
age,86,Rage
old,86,Cold
shaking,86,Shaking
old,86,Cold
"ADHD,",89,ADHD
anxiety,86,Anxiety
ADHD,100,ADHD
out,86,Gout
ever,89,Fever
ever,89,Fever
ever,89,Fever
out,86,Gout
any discomfort,86,Ear discomfort
discomfort,90,Discomfort
Could,89,Cold
Could,89,Cold
eating,86,Sweating
Ovarian cyst,100,Ovarian cyst
all,86,Fall
ever,89,Fever
stretchmarks,88,Stretch marks
abscess,86,Abscess
Abscess,100,Abscess
old,86,Cold
all,86,Fall
out,86,Gout
age,86,Rage
"miscarriage""",87,Miscarriage
age,86,Rage
age,86,Rage
out,86,Gout
fertility,90,Infertility
all,86,Fall
miscarriage,91,Miscarriage
old,86,Cold
all,86,Fall
old,86,Cold
burning sensation,94,Burning sensation
all,86,Fall
blister,86,Blister
all,86,Fall
all,86,Fall
itching,88,Twitching
itching,88,Twitching
old,86,Cold
regular periods,94,Irregular periods
out,86,Gout
out,86,Gout
old,86,Cold
all,86,Fall
restless,88,Restless
all,86,Fall
"difference,",87,Indifference
all,86,Fall
dermatitis,90,Dermatitis
Rash,100,Rash
bleeding,88,Bleeding
all,86,Fall
(irregular) period,86,Irregular periods
glaucoma,88,Glaucoma
cataract,88,Cataract
cataract,88,Cataract
rheumatoid arthritis,95,Rheumatoid arthritis
arthritis,89,Arthritis
diabetic,88,Diabetic
& Stress,86,Stress
Stress,100,Stress
out,86,Gout
all,86,Fall
panic attacks,92,Panic attacks
age,86,Rage
age,86,Rage
age,86,Rage
all,86,Fall
dizziness,89,Dizziness
fatigue,86,Fatigue
age,86,Rage
tearing,86,Staring
tearing,86,Staring
out,86,Gout
sickness,88,Sickness
ever,89,Fever
double vision,92,Double vision
out,86,Gout
all,86,Fall
Could,89,Cold
ever,89,Fever
all,86,Fall
out,86,Gout
old,86,Cold
out,86,Gout
dry skin,88,Dry skin
out,86,Gout
all,86,Fall
out,86,Gout
weight gain?,87,Weight gain
difference,91,Indifference
"mood swings,",87,Mood swings
hot flashes,91,Hot flashes
all,86,Fall
all,86,Fall
